Epic,Summary,Description,Owner,Story Points,Dependencies,Acceptance Criteria
Trust & Procurement,Scope SOC 2 Type II readiness assessment,"Engage an auditor/advisor to gap-assess current infra, access controls, logging, and vendor management against SOC 2 Type II Trust Services Criteria. Gatsby leads every enterprise/VC-PE conversation with this cert.",Security/Ops,8,None,"Written gap report produced covering all 5 trust criteria; remediation backlog created from findings; target audit window agreed with leadership."
Trust & Procurement,Implement staff SSO (Google Workspace + generic OIDC),"Add SSO login for staff/admin accounts via Google Workspace and a generic OIDC/SAML provider, alongside existing credential login. No SSO today; Gatsby ships this as a base-plan feature.",Backend/Auth,8,None,"Org admin can enable SSO and enforce it for their team; existing password login continues to work for orgs that don't enable it; session/permissions unchanged after login method swap."
Trust & Procurement,Publish a public API + API-key auth,"Add a dedicated API-key auth scheme (separate from user JWT sessions) scoped per organization, plus published API docs for third-party/programmatic access. Internal Swagger exists but nothing external-facing.",Backend API,8,Implement staff SSO (Google Workspace + generic OIDC),"External caller can mint/rotate an API key from settings; key-scoped requests are rate-limited and audit-logged; a docs page lists available endpoints and auth steps."
Trust & Procurement,Add outbound webhooks for customer automation,"Build outbound webhook delivery (event created, RSVP changed, checked-in, etc.) with signing and retry, matching what's already marketed on the enterprise pricing tier but not implemented.",Backend,5,Publish a public API + API-key auth,"Org can register a webhook URL and secret; selected event types deliver with signed payloads and retry-on-failure; delivery log is visible to the org."
CRM Connectivity,Build Salesforce two-way sync,"Sync RSVP status and attendance into Salesforce campaign members/activities in near-real-time, matching Gatsby's named integration.",Integrations,8,Publish a public API + API-key auth,"RSVP and check-in state changes reflect in Salesforce within a defined SLA; sync failures are visible and retryable; field mapping is configurable per org."
CRM Connectivity,Build Affinity two-way sync,"Sync guest lists, RSVPs, attendance, and notes with Affinity, matching Gatsby's named integration for VC/PE-style relationship teams.",Integrations,8,Build Salesforce two-way sync,"Guest and attendance data flows both directions with Affinity without duplicate contact creation; sync errors surface to the org admin."
Guest Experience,Add Apple Wallet pass generation,"Generate a .pkpass digital pass for a guest's ticket/badge (QR + event details), downloadable from FestioHub/email, as an alternative to the current web-only pass.",Backend/Mobile,5,None,"Guest can add their pass to Apple Wallet from their ticket link; pass reflects check-in state changes (e.g. relock after entry) if feasible; Android/Google Wallet is out of scope for this ticket."
Guest Experience,Add badge-printer integration for on-arrival printing,"Integrate with a common label/badge printer (e.g. via browser print API or a printer SDK) so staff can print a physical badge at check-in instead of only showing a digital ticket.",Backend/Frontend,8,None,"Staff check-in flow has a 'Print badge' action that produces a physical badge on a connected printer; failure to print does not block digital check-in."
Event Operations,Add per-event task/to-do management,"New domain model for internal event tasks (title, assignee, due date, status) scoped to an event, visible to staff/admins. Gatsby ships this as a base feature; Festio has nothing today.",Backend/Frontend,8,None,"Staff can create, assign, and complete tasks tied to an event; task list is visible on the event dashboard; completed/overdue tasks are distinguishable."
Event Operations,Wire calendar invites (.ics) into real invite emails,"Extend the existing VCALENDAR/.ics generation (currently only in the demo flow, backend/app/routers/demo.py) so real guest invitation and RSVP-confirmation emails include a working calendar attachment/'Add to calendar' link.",Backend,3,None,"A guest receiving a real event invite or RSVP confirmation gets a working .ics attachment that opens correctly in Google/Outlook/Apple Calendar; multi-day events produce a correct multi-day or per-session calendar entry."
Event Operations,Add capacity waitlist with promotion,"Extend existing capacity/rsvp_capacity fields with an actual waitlist queue: guests who RSVP after capacity is hit are queued, and promoted automatically (or by staff action) as spots free up, with notification on promotion.",Backend,5,None,"RSVPs beyond capacity are queued instead of rejected; a freed spot promotes the next queued guest and notifies them; staff can see and manually reorder/promote the queue."
Contacts,Add family/household contact grouping,"New grouping concept for guests belonging to the same family/household, distinct from seating TableGroup, so invites/RSVPs/communications can be managed at the household level the way Gatsby's 'Families' object does.",Backend/Frontend,5,None,"Staff can group guests into a household; household-level actions (e.g. one invite, one RSVP covering the household) work correctly; existing seating TableGroup behavior is unaffected."
