Epic,Summary,Description,Owner,Story Points,Dependencies,Acceptance Criteria
FCM Platform Foundation,Add FCM configuration and startup validation,"Add FCM_ENABLED, FCM_PROJECT_ID, FCM_CLIENT_EMAIL, FCM_PRIVATE_KEY, optional FCM_WEB_VAPID_KEY, and startup validation in messaging-service/backend.",Backend,5,None,"Service boots when FCM_ENABLED=false; fails fast with clear errors when enabled and misconfigured; env vars documented in templates and ops docs."
FCM Platform Foundation,Create FCM device token table + migration,"Add token persistence model with actor_type, actor_id, event_id, platform, token, status, metadata, and timestamps.",Backend/DB,5,Add FCM configuration and startup validation,"Migration applies cleanly in dev/staging/prod; duplicate active tokens are prevented; soft-revocation supported."
FCM Platform Foundation,Extend delivery logging for fcm channel,"Reuse existing delivery log model and add fcm channel conventions, provider_message_id, and normalized statuses.",Backend,3,Create FCM device token table + migration,"Each FCM send attempt creates a delivery record; statuses include queued/sent/failed/invalid_token; non-FCM logging unchanged."
Token Lifecycle APIs,Register FCM token API,"Add authenticated endpoint to register token and device metadata, with idempotent upsert behavior.",Backend API,5,Create FCM device token table + migration,"Registering same token multiple times does not duplicate active rows; actor and platform fields are stored; endpoint returns current state."
Token Lifecycle APIs,Unregister or revoke FCM token API,"Add authenticated endpoint to deactivate token for current user/guest session.",Backend API,3,Register FCM token API,"Revocation is idempotent; revoked tokens are excluded from sends; revoked_at and updated_at are written."
Token Lifecycle APIs,Support token refresh rotation,"Handle token changes by replacing old active token for same device identity.",Backend API,3,Register FCM token API,"New token becomes active; previous token is revoked; duplicate notifications do not occur after refresh."
FCM Dispatch Service,Introduce push provider abstraction,"Add PushProvider interface and implementations for existing web push and FCM to avoid channel-specific branching in callers.",Backend Services,5,Extend delivery logging for fcm channel,"Existing browser push remains functional; FCM provider can be toggled; callers use abstraction only."
FCM Dispatch Service,Implement FCM sender client + error mapping,"Build sender with canonical handling for retryable and permanent FCM errors, including invalid token outcomes.",Backend Services,8,Introduce push provider abstraction,"Retryable errors are retried; permanent token failures mark token invalid; provider_message_id and error codes are logged."
FCM Dispatch Service,Add queued push worker job,"Introduce push.send queue job with idempotency key, retries, and dead-letter handling.",Backend/Platform,8,Implement FCM sender client + error mapping,"Queue-backed async send path works end-to-end; duplicate jobs are deduped; dead jobs are inspectable and replayable."
Client Integration,iOS platform bootstrap for FCM token registration,"Add the Capacitor iOS platform (Android-only today) and link it to APNs via Firebase so an iOS build can obtain an FCM device token. FCM delivery itself is already platform-unified — one send call reaches Android/iOS/web alike — this ticket is only the missing client-side prerequisite (Xcode project, APNs auth key uploaded to the Firebase project, Capacitor iOS push plugin) needed before any iOS device can register a token. No server-side dispatch changes.",Mobile,5,None,"npx cap add ios project exists and builds; APNs auth key is uploaded to the Firebase project; a physical or simulator iOS build registers an FCM token through the same register-token API Android uses; no changes required to server-side dispatch."
