Epic,Summary,Description,Owner,Story Points,Dependencies,Acceptance Criteria
SEO Foundation,Create robots.txt policy for production/staging,"Add frontend/public/robots.txt with allow rules for production host and disallow rules for staging/non-prod hosts via deployment override.",Frontend/Platform,3,None,"Production allows crawl for public marketing and invite surfaces; staging is noindex/disallow; validated with curl in both environments."
SEO Foundation,Generate XML sitemap for public routes,"Add build step that emits sitemap.xml for '/', '/pricing', '/privacy', '/terms', '/refund-policy', '/sms-policy' and selected public invite/help routes.",Frontend,5,Create robots.txt policy for production/staging,"sitemap.xml is deployed at site root; only canonical public URLs included; Search Console accepts sitemap with no critical errors."
SEO Foundation,Canonical and hreflang baseline,"Ensure canonical URL tags are emitted for public pages and add hreflang baseline (en) to prevent duplicate indexing across domains.",Frontend,3,Generate XML sitemap for public routes,"All public marketing/legal pages include canonical tags; canonical host is festio.events; no canonical loops detected."
SEO Foundation,Meta tag hardening per route,"Implement route-level title and description updates for landing, pricing, legal and public invite pages in SPA runtime.",Frontend,5,Canonical and hreflang baseline,"Each target route renders unique title and description in browser; social debuggers and crawler snapshots show route-appropriate metadata."
AEO Structured Data,Add Organization and WebSite schema,"Inject JSON-LD for Organization and WebSite entities in frontend/index.html with production-safe URLs and contact/profile fields.",Frontend/Marketing,3,None,"Google Rich Results test parses valid Organization/WebSite schema; no syntax errors; fields match brand profile."
AEO Structured Data,Add SoftwareApplication schema for Festio,"Publish SoftwareApplication/Product style schema on landing and pricing pages with key capabilities and offer summary.",Frontend/Marketing,5,Add Organization and WebSite schema,"Schema validates and represents core product accurately; pricing representation avoids unsupported/ambiguous fields."
AEO Structured Data,Add FAQPage schema for high-intent questions,"Create curated FAQ section and JSON-LD for top questions (pricing, RSVP, QR check-in, refunds, messaging limits).",Frontend/Product,5,Meta tag hardening per route,"At least 8 high-intent FAQs are published; FAQ schema validates; answers are concise and policy-consistent."
AEO Content Blocks,Publish answer-first landing sections,"Refactor landing page copy so major intents start with direct 1-2 sentence answers before detail paragraphs.",Frontend/Marketing,5,Meta tag hardening per route,"Top 6 user intents are answered above the fold or near relevant sections; readability score and heading structure pass editorial review."
AEO Content Blocks,Create comparison page answer blocks,"Publish competitor-neutral comparison page with factual answer blocks (who it is for, fees, messaging, check-in scope).",Marketing/Product,8,Publish answer-first landing sections,"Page is indexable, legally reviewed, and linked from pricing; includes structured headings and source-backed claims."
Public Crawlability,Ship static no-JS marketing snapshot,"Extend existing static generation approach (similar to scripts/gen-guide-html.mjs) to emit crawlable static marketing snapshot for key public content.",Frontend,8,Generate XML sitemap for public routes,"Generated static HTML exists in dist for selected routes, contains core copy and links, and is retrievable without JavaScript execution."
Public Crawlability,Add crawler validation harness,"Add CI/script checks that fetch homepage/pricing with JS disabled user agents and verify title/meta/canonical/schema presence.",Platform/QA,5,Ship static no-JS marketing snapshot,"CI job fails on missing critical SEO fields; report artifact lists pass/fail checks for each URL."
Share and Preview SEO,Unify OG metadata source of truth,"Align frontend static OG tags and backend dynamic OG router fields so event/public links have consistent brand + content rules.",Backend/Frontend,3,None,"Preview cards for landing/pricing and invite links are consistent; no conflicting og:title/description/image patterns."
Share and Preview SEO,Add OG image generation pipeline,"Create deterministic social image generation workflow for landing, pricing, and event share defaults with 1200x630 assets.",Design/Frontend,5,Unify OG metadata source of truth,"All target pages return valid OG image URLs; cards pass Meta/X/LinkedIn validators with expected visuals."
Analytics and Measurement,Define SEO and AEO KPI schema,"Define events and dashboards for impressions, non-brand clicks, CTR, indexed pages, AI referral/citation mentions, and answer-block coverage.",Data/Marketing,3,None,"KPI definitions documented and approved; dashboard fields mapped to analytics sources; owners assigned."
Analytics and Measurement,Implement search console and analytics ingestion,"Connect Search Console exports and web analytics to weekly report pipeline for SEO/AEO tracking.",Data/Platform,5,Define SEO and AEO KPI schema,"Weekly automated report produced with trend deltas and top query groups; alert thresholds documented."
Analytics and Measurement,Add AI referral and citation tracking,"Tag and classify traffic/referrals from AI assistants and monitor citation presence for priority queries.",Data/Backend,5,Implement search console and analytics ingestion,"AI-sourced sessions are visible in reporting; top priority query/citation scoreboard is published weekly."
Governance and Quality,Create SEO/AEO editorial guardrails,"Define writing rules for answer blocks: factuality, citation style, claim substantiation, and anti-hype policy.",Marketing/Legal,3,None,"Guardrail doc approved; PR template includes checklist; 100% of new marketing pages use checklist."
Governance and Quality,Add metadata/schema QA checklist to release,"Extend release QA to include robots, sitemap, canonical, schema, OG, and broken-link checks for public pages.",QA/Platform,3,Add crawler validation harness,"Release checklist updated and used in staging and prod; at least one dry run completed without critical gaps."
Phase 1 Rollout,Execute 2-week phase-1 launch,"Run phase-1 in sequence: foundation -> schema -> answer blocks -> validation -> submit sitemap and monitor.",Product/Engineering,5,Add metadata/schema QA checklist to release,"Phase-1 checklist reaches done state; sitemap submitted; baseline KPI snapshot captured at launch and +14 days."
Phase 1 Rollout,Run post-launch query expansion loop,"After launch, review top query gaps and publish 3 additional answer pages/FAQ clusters based on data.",Marketing/Product,5,Execute 2-week phase-1 launch,"Three new high-intent pages are published; internal links added; KPI report shows early visibility movement."
